                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3731,                 1.3745,                 1.6766,                0.69915,                0.67965,                0.73593,                 0.3702,                 1.6302,                 1.3158,                 2.0122,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.3645,                  1.379,                 1.6764,                0.70737,                0.66981,                0.73311,                0.38005,                  1.593,                 1.3141,                 2.0247,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3296,                 1.3644,                 1.6553,                0.71842,                0.68491,                 0.7333,                0.38874,                   1.58,                 1.2974,                  2.003,               0.009307,               0.009307,               0.009307
                     37,                 1.3561,                 1.3787,                 1.6651,                0.70897,                0.68027,                0.70255,                 0.3619,                 1.6691,                 1.3528,                 2.0598,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.3391,                 1.3574,                 1.6528,                0.67003,                0.71645,                0.72522,                0.38973,                 1.6204,                 1.2709,                  2.034,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.3484,                 1.3649,                 1.6546,                0.70194,                0.69319,                0.73184,                0.38213,                 1.6355,                 1.3166,                 2.0215,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.3529,                 1.3581,                 1.6623,                0.71003,                0.71148,                0.75041,                0.40869,                 1.5911,                 1.2113,                 1.9669,              0.0092278,              0.0092278,              0.0092278
                     41,                  1.334,                 1.3432,                  1.651,                0.71718,                 0.6566,                0.71855,                 0.3794,                 1.6075,                 1.2748,                 1.9926,               0.009208,               0.009208,               0.009208
                     42,                 1.3443,                 1.3342,                 1.6473,                0.68292,                 0.6717,                0.72813,                0.38552,                 1.5943,                 1.3087,                 2.0093,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.3389,                 1.3374,                  1.646,                0.66279,                0.67547,                0.70698,                0.38459,                 1.5955,                 1.2994,                 2.0078,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.3394,                 1.3368,                 1.6577,                0.73447,                0.69245,                 0.7417,                0.40909,                 1.5691,                 1.2448,                  1.979,              0.0091486,              0.0091486,              0.0091486
