                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3225,                 1.1249,                 1.3508,                0.74699,                  0.654,                0.72725,                0.41475,                 1.4673,                 1.1739,                  1.443,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.3217,                 1.1163,                  1.342,                0.74304,                0.65139,                0.72474,                0.41512,                 1.4703,                 1.1806,                 1.4499,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.3159,                 1.1049,                 1.3387,                0.73442,                0.65876,                 0.7293,                0.41975,                  1.471,                 1.1641,                 1.4484,               0.009307,               0.009307,               0.009307
                     37,                 1.3141,                 1.1029,                 1.3356,                0.74786,                 0.6581,                0.72986,                0.41967,                 1.4528,                 1.1691,                 1.4376,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.3052,                 1.0971,                 1.3342,                0.74892,                0.65229,                0.72655,                0.41777,                 1.4562,                 1.1693,                 1.4382,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2979,                  1.071,                 1.3236,                0.73764,                0.66375,                0.72585,                0.42125,                 1.4551,                 1.1584,                 1.4379,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2991,                 1.0739,                 1.3282,                0.74546,                0.66378,                0.73384,                0.42328,                 1.4488,                 1.1567,                 1.4309,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.3027,                 1.0699,                 1.3288,                0.75158,                0.66112,                0.73542,                0.42475,                 1.4478,                 1.1493,                 1.4298,               0.009208,               0.009208,               0.009208
                     42,                 1.2921,                 1.0663,                 1.3162,                0.75032,                0.66226,                 0.7305,                0.42134,                 1.4464,                 1.1602,                 1.4351,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2942,                 1.0659,                 1.3197,                0.74831,                0.66776,                0.73812,                0.42598,                 1.4482,                  1.139,                 1.4338,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2908,                  1.065,                   1.32,                 0.7488,                  0.669,                0.74092,                0.42721,                 1.4482,                 1.1326,                 1.4352,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.2838,                   1.05,                 1.3124,                0.74406,                0.67359,                0.73873,                0.43044,                 1.4365,                 1.1267,                 1.4267,              0.0091288,              0.0091288,              0.0091288
                     46,                  1.283,                 1.0462,                 1.3116,                 0.7511,                0.67498,                0.73967,                0.42856,                 1.4395,                 1.1269,                 1.4278,               0.009109,               0.009109,               0.009109
                     47,                   1.28,                 1.0551,                 1.3094,                0.74225,                0.67661,                0.73784,                0.42975,                  1.438,                 1.1255,                 1.4235,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.2763,                 1.0362,                 1.3078,                0.76263,                0.67206,                0.74309,                0.43139,                 1.4412,                 1.1183,                 1.4284,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2709,                  1.034,                 1.3029,                0.75606,                0.67555,                0.74238,                0.42958,                 1.4392,                 1.1162,                 1.4279,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2682,                 1.0265,                 1.3004,                0.74761,                0.68557,                0.74003,                0.43091,                 1.4393,                  1.124,                 1.4283,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2693,                 1.0343,                  1.303,                0.74408,                0.68112,                0.74417,                0.43236,                 1.4393,                 1.1157,                 1.4239,                0.00901,                0.00901,                0.00901
                     52,                  1.265,                  1.019,                 1.2995,                0.73959,                0.67998,                0.74083,                0.43285,                 1.4317,                 1.1141,                 1.4183,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2604,                  1.012,                 1.2946,                0.74214,                0.68269,                0.74421,                0.43535,                 1.4273,                 1.1099,                 1.4135,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.2525,                 1.0142,                 1.2941,                0.73855,                0.68265,                0.74114,                0.43295,                 1.4299,                 1.1156,                 1.4173,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2544,                 1.0138,                 1.2946,                0.74004,                0.68615,                0.74062,                0.43228,                 1.4334,                 1.1126,                 1.4209,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2543,                 1.0008,                 1.2907,                0.74599,                0.68622,                0.74398,                0.43385,                 1.4335,                 1.1047,                 1.4197,               0.008911,               0.008911,               0.008911
                     57,                 1.2558,                 1.0018,                 1.2924,                0.74982,                0.68474,                0.74715,                0.43518,                 1.4355,                 1.0966,                  1.419,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2481,                0.99062,                 1.2848,                0.74841,                0.68328,                0.74681,                0.43566,                 1.4345,                 1.1037,                  1.418,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.2468,                0.99211,                  1.284,                0.74671,                0.68042,                0.74421,                0.43548,                 1.4325,                 1.1021,                 1.4194,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.2465,                0.99066,                 1.2818,                0.74766,                0.67956,                0.74475,                0.43578,                 1.4323,                 1.1017,                 1.4174,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2453,                0.97907,                  1.284,                0.75205,                0.68061,                0.74709,                0.43632,                 1.4301,                 1.1001,                 1.4147,               0.008812,               0.008812,               0.008812
                     62,                 1.2408,                0.97717,                 1.2823,                0.75402,                0.67908,                0.74639,                0.43696,                 1.4291,                 1.1015,                 1.4137,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.2363,                0.96867,                 1.2743,                0.74669,                0.68765,                0.74925,                0.43888,                 1.4308,                 1.0981,                 1.4138,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.2318,                0.97436,                 1.2744,                0.75114,                0.68815,                0.74888,                  0.439,                 1.4285,                 1.0953,                 1.4137,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.2304,                0.97298,                 1.2759,                0.75117,                0.68648,                0.74871,                 0.4388,                 1.4323,                 1.0928,                 1.4192,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.2258,                0.95966,                 1.2694,                0.75506,                0.68514,                0.74826,                0.43808,                 1.4327,                  1.096,                 1.4194,               0.008713,               0.008713,               0.008713
                     67,                 1.2274,                0.95859,                 1.2722,                0.75726,                0.69236,                0.74884,                0.43796,                 1.4299,                 1.0931,                 1.4167,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.2253,                0.96078,                 1.2737,                0.75832,                0.69168,                0.74973,                0.43859,                 1.4299,                 1.0895,                 1.4171,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.2153,                0.95363,                 1.2687,                0.75694,                0.68858,                0.74873,                0.43884,                 1.4302,                 1.0885,                 1.4173,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.2143,                0.94061,                 1.2622,                 0.7563,                0.68959,                0.74896,                0.43889,                 1.4326,                 1.0861,                 1.4202,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.2127,                0.94776,                  1.264,                0.75583,                0.68502,                0.74822,                0.43996,                 1.4317,                  1.087,                 1.4194,               0.008614,               0.008614,               0.008614
                     72,                 1.2129,                0.94056,                 1.2618,                 0.7562,                0.68583,                0.74837,                0.44028,                 1.4312,                 1.0866,                 1.4194,              0.0085942,              0.0085942,              0.0085942
