                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6063,                 2.0392,                 1.5852,                0.50629,                0.46445,                0.45013,                0.21666,                 1.7884,                  1.879,                 1.6793,               0.003329,               0.003329,               0.003329
                      1,                 1.5319,                 1.5595,                 1.4919,                0.57675,                0.53117,                0.54781,                0.26266,                 1.7566,                 1.5644,                 1.6516,              0.0066492,              0.0066492,              0.0066492
                      2,                 1.6071,                 1.6417,                 1.5414,                0.51192,                0.45747,                0.45169,                0.20802,                 1.8787,                 1.8836,                 1.8269,              0.0099561,              0.0099561,              0.0099561
                      3,                 1.6535,                 1.7005,                 1.5821,                0.54015,                0.47927,                0.48051,                 0.2301,                 1.8534,                 1.7813,                 1.8217,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6095,                 1.6173,                 1.5595,                0.56588,                0.52081,                0.53613,                0.25366,                 1.7691,                 1.6513,                 1.7009,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5803,                 1.5643,                 1.5357,                0.59113,                 0.5368,                0.56697,                0.27807,                 1.7362,                 1.5739,                 1.6784,              0.0099208,              0.0099208,              0.0099208
                      6,                  1.544,                 1.5096,                 1.5172,                0.61214,                0.54743,                0.59355,                0.29457,                 1.7041,                  1.523,                 1.6295,               0.009901,               0.009901,               0.009901
                      7,                 1.5151,                 1.4522,                 1.4943,                0.62208,                0.57566,                0.60238,                0.30925,                 1.6778,                 1.4469,                 1.6413,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.5108,                 1.4376,                 1.4813,                0.61995,                0.57399,                0.60174,                0.30555,                 1.6681,                 1.4438,                 1.6071,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4926,                 1.4137,                 1.4756,                0.63335,                0.58632,                0.62754,                 0.3236,                  1.636,                 1.3952,                 1.5678,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4849,                 1.3796,                 1.4638,                0.65975,                0.60802,                0.65756,                0.34566,                 1.6083,                 1.3424,                 1.5545,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.4695,                 1.3479,                 1.4525,                0.64349,                0.61668,                0.65349,                0.34491,                 1.6139,                 1.3441,                 1.5744,               0.009802,               0.009802,               0.009802
